Full Code,Country,Short Name,Full Name,Freq,fred,quandl,bloomberg,Prefix,Postfix
Alabama-Total Nonfarm,Alabama,Total Nonfarm,All Employees: Total Nonfarm,Monthly,ALNA,FRED/ALNA,,AL,NA
Alaska-Total Nonfarm,Alaska,Total Nonfarm,All Employees: Total Nonfarm,Monthly,AKNA,FRED/AKNA,,AK,NA
Arizona-Total Nonfarm,Arizona,Total Nonfarm,All Employees: Total Nonfarm,Monthly,AZNA,FRED/AZNA,,AZ,NA
Arkansas-Total Nonfarm,Arkansas,Total Nonfarm,All Employees: Total Nonfarm,Monthly,ARNA,FRED/ARNA,,AR,NA
California-Total Nonfarm,California,Total Nonfarm,All Employees: Total Nonfarm,Monthly,CANA,FRED/CANA,,CA,NA
Colorado-Total Nonfarm,Colorado,Total Nonfarm,All Employees: Total Nonfarm,Monthly,CONA,FRED/CONA,,CO,NA
Connecticut-Total Nonfarm,Connecticut,Total Nonfarm,All Employees: Total Nonfarm,Monthly,CTNA,FRED/CTNA,,CT,NA
Delaware-Total Nonfarm,Delaware,Total Nonfarm,All Employees: Total Nonfarm,Monthly,DENA,FRED/DENA,,DE,NA
Florida-Total Nonfarm,Florida,Total Nonfarm,All Employees: Total Nonfarm,Monthly,FLNA,FRED/FLNA,,FL,NA
Georgia-Total Nonfarm,Georgia,Total Nonfarm,All Employees: Total Nonfarm,Monthly,GANA,FRED/GANA,,GA,NA
Hawaii-Total Nonfarm,Hawaii,Total Nonfarm,All Employees: Total Nonfarm,Monthly,HINA,FRED/HINA,,HI,NA
Idaho-Total Nonfarm,Idaho,Total Nonfarm,All Employees: Total Nonfarm,Monthly,IDNA,FRED/IDNA,,ID,NA
Illinois-Total Nonfarm,Illinois,Total Nonfarm,All Employees: Total Nonfarm,Monthly,ILNA,FRED/ILNA,,IL,NA
Indiana-Total Nonfarm,Indiana,Total Nonfarm,All Employees: Total Nonfarm,Monthly,INNA,FRED/INNA,,IN,NA
Iowa-Total Nonfarm,Iowa,Total Nonfarm,All Employees: Total Nonfarm,Monthly,IANA,FRED/IANA,,IA,NA
Kansas-Total Nonfarm,Kansas,Total Nonfarm,All Employees: Total Nonfarm,Monthly,KSNA,FRED/KSNA,,KS,NA
Kentucky-Total Nonfarm,Kentucky,Total Nonfarm,All Employees: Total Nonfarm,Monthly,KYNA,FRED/KYNA,,KY,NA
Louisiana-Total Nonfarm,Louisiana,Total Nonfarm,All Employees: Total Nonfarm,Monthly,LANA,FRED/LANA,,LA,NA
Maine-Total Nonfarm,Maine,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MENA,FRED/MENA,,ME,NA
Maryland-Total Nonfarm,Maryland,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MDNA,FRED/MDNA,,MD,NA
Massachusetts-Total Nonfarm,Massachusetts,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MANA,FRED/MANA,,MA,NA
Michigan-Total Nonfarm,Michigan,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MINA,FRED/MINA,,MI,NA
Minnesota-Total Nonfarm,Minnesota,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MNNA,FRED/MNNA,,MN,NA
Mississippi-Total Nonfarm,Mississippi,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MSNA,FRED/MSNA,,MS,NA
Missouri-Total Nonfarm,Missouri,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MONA,FRED/MONA,,MO,NA
Montana-Total Nonfarm,Montana,Total Nonfarm,All Employees: Total Nonfarm,Monthly,MTNA,FRED/MTNA,,MT,NA
Nebraska-Total Nonfarm,Nebraska,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NENA,FRED/NENA,,NE,NA
Nevada-Total Nonfarm,Nevada,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NVNA,FRED/NVNA,,NV,NA
New Hampshire-Total Nonfarm,New Hampshire,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NHNA,FRED/NHNA,,NH,NA
New Jersey-Total Nonfarm,New Jersey,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NJNA,FRED/NJNA,,NJ,NA
New Mexico-Total Nonfarm,New Mexico,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NMNA,FRED/NMNA,,NM,NA
New York-Total Nonfarm,New York,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NYNA,FRED/NYNA,,NY,NA
North Carolina-Total Nonfarm,North Carolina,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NCNA,FRED/NCNA,,NC,NA
North Dakota-Total Nonfarm,North Dakota,Total Nonfarm,All Employees: Total Nonfarm,Monthly,NDNA,FRED/NDNA,,ND,NA
Ohio-Total Nonfarm,Ohio,Total Nonfarm,All Employees: Total Nonfarm,Monthly,OHNA,FRED/OHNA,,OH,NA
Oklahoma-Total Nonfarm,Oklahoma,Total Nonfarm,All Employees: Total Nonfarm,Monthly,OKNA,FRED/OKNA,,OK,NA
